title,song
烟花易冷 (Live),烟花易冷 - 周杰伦，，繁华声 遁入空门 折煞了世人，，梦偏冷 辗转一生 情债又几本，，如你默认 生死枯等，，枯等一圈 又一圈的 年轮，浮图塔 断了几层 断了谁的魂，，痛直奔 一盏残灯 倾塌的山门，，容我再等 历史转身，，等酒香醇 等你弹 一曲古筝，雨纷纷 旧故里草木深，，我听闻 你始终一个人，，斑驳的城门 盘踞着老树根，石板上回荡的是 再等，，雨纷纷 旧故里草木深，，我听闻 你仍守着孤城，，城郊牧笛声 落在那座野村，缘份落地生根是 我们，，听青春 迎来笑声 羡煞许多人，，那史册 温柔不肯 下笔都太狠，烟花易冷 人事易分，，而你在问 我是否还 认真，，千年后 累世情深 还有谁在等，而青史 岂能不真 魏书洛阳城，如你在跟 前世过门，，跟着红尘 跟随我 浪迹一生，，雨纷纷 旧故里草木深，，我听闻 你始终一个人，，斑驳的城门 盘踞着老树根，石板上回荡的是 再等，雨纷纷 旧故里草木深，，我听闻 你仍守着孤城，，城郊牧笛声 落在那座野村，缘份落地生根是 我们，，雨纷纷 旧故里草木深，我听闻 你始终一个人，斑驳的城门 盘踞着老树根，石板上回荡的是 再等，雨纷纷 雨纷纷 旧故里草木深，我听闻 我听闻 你仍守着孤城，城郊牧笛声 落在那座野村，缘份落地生根是 我们，，缘份落地生根是 我们，，伽蓝寺听雨声盼 永恒
乔克叔叔(Anky Hype Mix Mashup Re-drum),乔克叔叔(Anky Hype Mix Mashup Re-drum) - 周杰伦，，亲爱的别吓到闭上了眼睛，小丑把戏不是大家都可以，夸张眼影蓝色忧伤的泪滴，丢丢刀喷喷火踩高跷吹笛，跌倒失手烧到眉毛我故意，哈哈你笑的开心我可是在玩命，扑克牌里我的肖像才一两张，你看你看我的重要性，彩色的大卷发红鼻子，最滑稽的步法，这样的快乐你学会了吗，用笨拙又惊险的杂耍，继续对你装傻，所有的悲伤通通忘了吧，听我说拿出你的钞票，笑平常买不到，先生小姐们赶快来，赶快来，再慢就看不到座位没剩多少，还能跟乔克叔叔拍一张照，我只是卑微的小丑，翻几个跟斗就等你拍一拍手，人群散了后夜色多朦胧，月光也会跟著我，我不是孤独的小丑，你笑了之后不需要记得我，灯熄的时候满天的星空，最明亮的是寂寞，，下著雨我躲在面具里，偷偷地在哭泣，因为看了不能说的秘密，魔术师我恨你抢走我，的生意别忘记，蝙蝠侠靠我才票房冠军，听我说拿出你的钞票，笑平常买不到，先生小姐们赶快来，赶快来，再慢就看不到，座位没剩多少，还能跟乔克叔叔拍，一张照，我只是卑微的小丑，翻几个跟斗，就等你拍一拍手，人群散了后夜色多朦胧，月光也会跟著我，我不是孤独的小丑，你笑了之后，不需要记得我，灯熄的时候满天的星空，最明亮的是寂寞，，我只是卑微的小丑，翻几个跟斗，就等你拍一拍手，人群散了后夜色多朦胧，月光也会跟著我，我不是孤独的小丑，你笑了之后，不需要记得我，灯熄的时候满天的星空，最明亮的是寂寞
屋顶,＜屋頂＞，──溫嵐＆周杰倫，，作詞：周杰倫，作曲：周杰倫，編曲：屠穎，，＊杰：半夜睡不著覺　把心情哼成歌　只好到屋頂找另一個夢境，嵐：睡夢中被敲醒　我還是不確定　怎會有動人旋律在對面的屋頂，我悄悄關上門　帶著希望上去　原來是我夢裡常出現的那個人，，杰：那個人不就是我夢裡那模糊的人　我們有同樣的默契　用天線，合：用天線　排成愛你的形狀　Ho~ Ho~，，嵐：在屋頂唱著你的歌，杰：在屋頂和我愛的人，嵐：讓星星點綴成，合：最浪漫的夜晚　擁抱這時刻　這一分一秒全都停止，杰：愛開始糾結，，嵐：在屋頂唱著你的歌，杰：在屋頂和我愛的人，嵐：將泛黃的夜獻，合：給最孤獨的月　擁抱這時刻　這一分一秒全都停止，杰：愛開始糾結，合：夢有你而美，，Repeat ＊，，嵐：讓我愛你是誰，杰：是我，嵐：讓你愛我是誰，杰：是妳，嵐：怎會有，合：動人旋律環繞在我倆的身邊，，嵐：讓我愛你是誰，杰：是我，嵐：讓你愛我是誰，杰：是妳，嵐：原來是，合：這屋頂有美麗的邂逅，，杰：在屋頂唱著你的歌　在屋頂和我愛的人
布拉格广场,琴键上透着光，彩绘的玻璃窗，装饰着歌特式教堂，谁谁谁弹一段，一段流浪忧伤，顺着琴声方向看见，蔷薇依附十八世纪的油画上，在旁 静静欣赏，在想 你的浪漫，在看 是否多久都一样，a a fu shou a a fu shou，yap so so sorry so so so，Moderato Andantino，Portmento Fortissimo，盗贼他偷走 修道士说No，梦醒来后我 一切都都没有，，我就站在布拉格黄昏的广场，在许愿池投下了希望，那群白鸽背对着夕阳，那画面太美我不敢看，布拉格的广场无人的走廊，我一个人跳着舞旋转，不远地方你远远吟唱，没有我你真的不习惯，，透着光 彩绘的玻璃窗，装饰着歌特式教堂，谁谁谁弹一段，一段流浪忧伤，顺着琴声方向看见，蔷薇依附十八世纪的油画上，在旁 静静欣赏，在想 你的浪漫，在看 是否多久都一样，a a fu shou a a fu shou，yap so so sorry so so so，Moderato Andantino，Portmento Fortissimo，盗贼他偷走 修道士说No，梦醒来后我 一切都都没有，我就站在布拉格黄昏的广场，在许愿池投下了希望，那群白鸽背对着夕阳，那画面太美我不敢看，布拉格的广场无人的走廊，我一个人跳着舞旋转，不远地方你远远吟唱，没有我你真的不习，在布拉格黄昏的广场，在许愿池投下了希望，那群白鸽背对着夕阳，那画面太美我不敢看，布拉格的广场拥挤的剧场，安静小巷一家咖啡馆，我在结帐你在煮浓汤，这是故事最后的答案
退后,天空灰得像哭过，离开你以后 并没有更自由，酸酸的空气 嗅出我们的距离，一幕锥心的结局，像呼吸般无法停息，抽屉泛黄的日记，榨干了回忆 那笑容是夏季，你我的过去 被顺时针地忘记，缺氧过后的爱情，粗心的眼泪是多余，，我知道你我都没有错，只是忘了怎么退后，信誓旦旦给了承诺，却被时间扑了空，我知道我们都没有错，只是放手会比较好过，最美的爱情 回忆里待续，，制作人: 周杰伦 合声编写: 周杰伦 合声: 周杰伦，吉他: 林迈可 (Michael Lin) Programmer: 林迈可 (Michael Lin)，录音工程: 杨瑞代、林迈可 (Michael Lin)，录音室: ALFA STUDIO、VIP STUDIO 混音工程: 林迈可 (Michael Lin)，混音录音室: VIP STUDIO，，OP: Alfa Music Publishing Co.Ltd.，ISRC TW-C23-06-00-115 / CN-E04-06-383-05/A.J6
夜曲,一群嗜血的蚂蚁 被腐肉所吸引 我面无表情 看孤独的风景，失去你 爱恨开始分明 失去你 还有什么事好关心，当鸽子不再象征和平 我终于被提醒 广场上喂食的是秃鹰，我用漂亮的押韵 形容被掠夺一空的爱情，，啊 乌云开始遮蔽 夜色不干净，公园里 葬礼的回音 在漫天飞行，送你的 白色玫瑰 在纯黑的环境凋零，乌鸦在树枝上诡异的很安静，静静听 我黑色的大衣 想温暖你 日渐冰冷的回忆，走过的 走过的 生命，啊 四周弥漫雾气 我在空旷的墓地 老去后还爱你，，为你弹奏萧邦的夜曲 纪念我死去的爱情，跟夜风一样的声音 心碎的很好听，手在键盘敲很轻 我给的思念很小心，你埋葬的地方叫幽冥，，为你弹奏萧邦的夜曲 纪念我死去的爱情，而我为你隐姓埋名 在月光下弹琴，对你心跳的感应 还是如此温热亲近，怀念你那鲜红的唇印，，那些断翅的蜻蜓 散落在这森林 而我的眼睛 没有丝毫同情，失去你 泪水混浊不清 失去你 我连笑容都有阴影，风在长满青苔的屋顶 嘲笑我的伤心 像一口没有水的枯井，我用凄美的字型 描绘后悔莫及的那爱情，，为你弹奏萧邦的夜曲 纪念我死去的爱情，跟夜风一样的声音 心碎的很好听，手在键盘敲很轻 我给的思念很小心，你埋葬的地方叫幽冥，，为你弹奏萧邦的夜曲 纪念我死去的爱情，而我为你隐姓埋名 在月光下弹琴，对你心跳的感应 还是如此温热亲近，怀念你那鲜红的唇印，，，制作人：周杰伦，合声编写：周杰伦 合声：周杰伦，录音工程：杨瑞代，录音室：ALFA STUDIO，混音工程：林迈可，混音录音室：VIP STUDIO
止战之殇,光　轻如纸张　光　散落地方，光　在掌声渐息中它慌忙，她在传唱　不堪的伤，脚本在台上　演出最后一场，而全村的人们在座位上　静静的看，时间如何遗弃这剧场，战火弄脏　她的泪光，谁在风中　吵着吃糖，这故事一开始的镜头灰尘就已遮蔽了阳光　ㄅㄧㄤˋ，，＊恐惧刻在孩子们脸上，麦田已倒向战车经过的方向，蒲公英的形状　在飘散，它绝望　的飞翔，她只唱只想　这首止战　之殇，恶夜燃烛光　天破息战乱，殇歌传千里　家乡平饥荒，天真在这条路上　跌跌撞撞，她被芒草割伤，，☆ 孩子们眼中的希望　是什么形状，是否醒来有面包当早餐　再喝碗热汤，农夫被烧毁土地跟村庄　终于拿起枪，她却慢慢习惯放弃了抵抗，，孩子们眼中的希望　是什么形状，是否院子有秋千可以荡　口袋里有糖，刺刀的光被仇恨所擦亮　在远方野蛮，而她却微笑着不知道慌张，，Repeat ＊☆，，孩子们眼中的希望　是什么形状，是否醒来有面包当早餐　再喝碗热汤，(天真在这条路上　跌跌撞撞　她被芒草割伤)，农夫被烧毁土地跟村庄　终于拿起枪，她却慢慢习惯放弃了抵抗，(天真在这条路上　跌跌撞撞　她被芒草割伤)，，，合声：周杰伦，合声编写：周杰伦，钢琴：周杰伦，录音工程：盖瑞（ALFA STUDIO），混音工程：杨大纬（杨大纬录音工作室），，OP: ALFA MUSIC PUBLISHING CO. LTD，ISRC: TW-C23-04-007-10
上海一九四三,泛黄的春联还残留在墙上，依稀可见几个字岁岁平安，在我没回去过的老家米缸，爷爷用楷书写一个满，，黄金葛爬满了雕花的门窗，夕阳斜斜映在斑驳的砖墙，铺着榉木板的屋内还弥漫，姥姥当年酿的豆瓣酱，，我对着黑白照片开始想像，爸和妈当年的模样，说着一口吴侬软语的姑娘缓缓走过外滩，，消失的 旧时光 一九四三，在回忆 的路上 时间变好慢，老街坊 小弄堂，都是属于那年代白墙黑瓦的淡淡的忧伤，，消失的 旧时光 一九四三，回头看 的片段 有一些风霜，老唱盘 旧皮箱，装满了明信片的铁盒里藏着一片玫瑰花瓣，，，制作人：周杰伦 合声编写：周杰伦 合声：周杰伦，录音工程：Gary Yang(J&A STUDIO)，混音工程：杨大纬(杨大纬录音工作室)
印第安老斑鸠,沙漠之中怎么会有泥鰍，话说完飞过一只海鸥，大峡谷的风呼啸而过，是谁说没有，，有一条热昏头的响尾蛇，无力的躺在干枯的河，在等待雨季来临变沼泽，，灰狼啃食着水鹿的骨头，秃鹰盘旋死盯着腐肉，草原上两只敌对野牛，在远方决斗，，在一处被废弃的白蚁丘，站着一只饿昏的老斑鸠，，印地安老斑鸠腿短毛不多，几天都没有喝水也能活，脑袋瓜有一点秀逗，猎物死了它比谁都难过，，印地安斑鸠 会学人开口，仙人掌怕羞 蜥蝪横著走，这里什么奇怪的事都有，包括像猫的狗，，印地安老斑鸠平常话不多，除非是乌鸦抢了它的窝，它在灌木丛旁邂逅，一只令它心仪的母斑鸠，，RAP~牛仔红蕃 在小镇 背对背决斗，一只灰狼 问候我 谁是神枪手，巫师 他念念 有词的 对酋长，下诅咒 还我骷髅头 这故事，告诉我 印地安 的传说 还真是，瞎透了 什么都有，，合声编写：周杰伦，合声：周杰伦，过带录音师：林佳育(明水 录音室)，配唱录音师：林聪智(J&A 录音室)，混音录音师：林聪智(J&A 录音室)，OP：Alfa Music Production 100%
困兽之斗,＊我在阴暗中降落　世界在雨中淹没，画面与现实交错　无法抽离卡在胸口，躯壳如行尸走肉　陷阱漩涡我已受够，挣脱逃离这个空洞，，如果　我冲出黑幕笼罩的天空，就别在捆绑我的自由，，☆ 在狂风之中　嘶吼　作困兽之斗，我奋力冲破　封闭的思绪　震开裂缝，燃烧的花朵　升空　消失在空中，记忆在剥落　残留的影响轮廓　溃散在薄雾中，，Repeat ＊，，如果　我冲出黑幕笼罩的天空，就别想在捆绑我的自由，，Repeat ☆，，Ha~ 之中　嘶吼　作困兽之斗，我奋力冲破　封闭的思绪　震开裂缝，燃烧的花朵　升空　消失在空中，记忆在剥落　残留的影响轮廓　溃散在薄雾中，，，和声：周杰伦  和声编写：周杰伦，吉他：蔡科俊Again  鼓：陈柏州  口琴：李茂村，录音工程：盖瑞（Alfa Studio）  混音工程：杨大纬（杨大纬录音工作室），，OP: ALFA MUSIC PUBLISHING CO. LTD，ISRC: TW-C23-04-007-08
